id,imageCoordX,imageCoordY,incidence_deg,emission_deg,phase_deg,Stacked_0,Stacked_1,Stacked_2,Stacked_3,Stacked_4,Stacked_5,Stacked_6,Stacked_7,Stacked_8,Stacked_9,Stacked_10,Stacked_11,Stacked_12,Stacked_13,Stacked_14,Stacked_15,Stacked_16,Stacked_17,Stacked_18,Stacked_19,Stacked_20,Stacked_21,Stacked_22,Stacked_23,Stacked_24
233145,210.592,95.129,56.0974,89.1512,33.4845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483986,210.167,98.952,23.3778,49.8239,33.3411,0.20219703,0.202964053,0.204477146,0.205621764,0.20648919,0.207744077,0.208476081,0.209227011,0.209888279,0.210231408,0.21031487,0.210144192,0.209741056,0.208952248,0.207742169,0.206568256,0.205130652,0.20337218,0.201932073,0.201076448,0.199856386,0.199481025,0.199343994,0.199620083,0.200158432
504384,205.610,97.940,26.2501,54.5541,33.3783,0.198146075,0.198897734,0.200380519,0.201502204,0.202352241,0.203581989,0.204299331,0.20503521,0.205683231,0.206019491,0.206101283,0.205934018,0.205538958,0.204765961,0.203580126,0.202429727,0.201020926,0.199297681,0.197886437,0.197047949,0.195852339,0.195484489,0.1953502,0.19562076,0.196148321
659123,208.978,108.328,38.4388,6.0704,32.9894,0.152736202,0.153315589,0.154458568,0.155323192,0.155978426,0.156926349,0.157479286,0.158046529,0.158546031,0.158805236,0.158868283,0.158739343,0.158434823,0.15783897,0.156924903,0.15603815,0.154952213,0.153623894,0.152536049,0.151889741,0.15096812,0.150684565,0.150581062,0.150789618,0.151196271
864290,210.065,120.475,94.4795,62.6612,32.5344,0.113221779,0.113651276,0.114498548,0.115139484,0.115625203,0.116327889,0.116737783,0.117158271,0.11752855,0.117720693,0.117767423,0.117671847,0.117446117,0.117004417,0.116326824,0.115669481,0.114864483,0.113879815,0.113073416,0.112594306,0.111911118,0.11170093,0.111624204,0.111778803,0.112080246
