"distance","elevation"
"0","-2068.818022253626"
"10.00254105385784","-2070.251535340529"
"20.00508367858101","-2070.8484457772834"
"30.007627874802306","-2071.1550833566225"
"40.01017364195813","-2070.9553461274586"
"50.012720978669","-2069.505195667172"
"60.01526988515337","-2068.2858293216077"
"70.01782036313513","-2067.984550710632"
"80.02037240834824","-2069.303788189511"
"90.0229260251751","-2070.437900038424"
"100.02548121161138","-2070.9756938245237"
"110.02803796627691","-2071.9144274322052"
"120.03059629028968","-2072.3721581198415"
"130.0331561829827","-2072.811498658502"
"140.03571764506975","-2073.160749476472"
"150.0382806748749","-2072.67787625881"
"160.04084527450945","-2072.201047962331"
"170.04341144221206","-2072.2840616930043"
"180.04597917711263","-2071.8628448607046"
"190.0485484795133","-2071.186883188918"
"200.0511193497875","-2072.3055038698863"
"210.05369178803448","-2072.994251768051"
"220.0562657942648","-2073.041957211308"
"230.05884136691577","-2073.2981566295525"
"240.06141850695403","-2074.0481322510736"
"250.06399721374063","-2075.096857043324"
"260.066577487113","-2075.733522539802"
"270.06915932657137","-2076.1947786525884"
"280.07174273232516","-2075.889922381438"
"290.07432770544204","-2075.228209432696"
"300.07691424356074","-2074.9745803429946"
"310.07950234823517","-2074.074104401166"
"320.08209201761775","-2074.6553704845824"
"330.0846832534455","-2074.712083939441"
"340.08727605414504","-2074.8802142444997"
"350.0898704190625","-2074.562031383742"
"360.092466350997","-2073.6192222452883"
"370.095063846193","-2071.806560118065"
"380.09766290613817","-2071.283097238722"
"390.10026352975456","-2071.109950904914"
"400.1028657193342","-2072.9085734159153"
"410.10546947184395","-2073.833618383702"
"420.10807478880554","-2074.5061869935976"
"430.11068166902817","-2075.325456591216"
"440.113290113482","-2075.3879043863967"
"450.11590012038874","-2076.131934676326"
"460.11851169080126","-2076.9575831512925"
"470.1211248254491","-2078.342548815464"
"480.1237395210152","-2079.3345678657342"
"490.12635578157017","-2080.212146075114"
"500.1289736021323","-2081.30103812597"
"510.1315929861851","-2082.4540369889673"
"520.1342139335528","-2083.249808339365"
"530.1368364418848","-2083.995588701558"
"540.1394605112953","-2085.256352542276"
"550.1420861432372","-2085.9473523686443"
"560.1447133359358","-2087.4601971836187"
"570.1473420905471","-2088.414048232136"
"580.1499724075336","-2089.682979028408"
"590.1526042832688","-2090.497811206278"
"600.1552377213","-2090.839933791731"
"610.1578727195117","-2091.2412349878105"
"620.1605092778957","-2092.568219891367"
"630.163147396571","-2094.104812098553"
"640.1657870755955","-2094.615998542185"
"650.1684283137785","-2095.767101682964"
"660.1710711128337","-2096.967746363061"
"670.1737154709433","-2098.621750599809"
"680.176361388881","-2099.5256557724306"
